longitud;latitud;parametro;abrebiatura;descripcion;anio-mes-dia;valor;categoria
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2006-08-01;12.51;24
-3.668611;40.428612;08;NO2;DIOXIDO_DE_NITROGENO;2007-06-01;23.64;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2007-06-01;24.29;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2007-07-01;23.12;24
-3.645278;40.408056;08;NO2;DIOXIDO_DE_NITROGENO;2007-06-01;21.95;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2007-03-01;18.08;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2007-06-01;14.80;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2007-07-01;16.10;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2007-07-01;24.56;24
-3.668611;40.428612;08;NO2;DIOXIDO_DE_NITROGENO;2008-08-01;24.43;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2008-04-01;21.52;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2008-05-01;19.64;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2008-06-01;12.60;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2008-07-01;19.13;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2008-08-01;10.38;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2008-09-01;10.32;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2008-11-01;9.810;24
-3.693611;40.402225;08;NO2;DIOXIDO_DE_NITROGENO;2009-07-01;24.66;24
-3.704170;40.447224;08;NO2;DIOXIDO_DE_NITROGENO;2009-08-01;24.26;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2009-05-01;18.72;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2009-08-01;19.18;24
-3.716667;40.385000;08;NO2;DIOXIDO_DE_NITROGENO;2009-12-01;;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2009-05-01;16.04;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2009-08-01;24.38;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2009-06-01;20.99;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2009-07-01;24.17;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2009-08-01;16.82;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2009-05-01;21.96;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2009-07-01;24.32;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2009-08-01;19.22;24
-3.645278;40.408056;08;NO2;DIOXIDO_DE_NITROGENO;2009-05-01;23.39;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2009-05-01;16.17;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2009-07-01;15.88;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2009-08-01;16.78;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2009-09-01;22.24;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2009-11-01;17.05;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2009-12-01;16.18;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2009-05-01;19.84;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2009-12-01;15.97;24
-3.711389;40.478333;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;20.01;24
-3.711389;40.478333;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;18.83;24
-3.711389;40.478333;08;NO2;DIOXIDO_DE_NITROGENO;2010-06-01;22.92;24
-3.682222;40.421667;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;21.52;24
-3.704170;40.447224;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;19.85;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;22.11;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;10.29;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2010-06-01;23.02;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;21.65;24
-3.639167;40.440000;08;NO2;DIOXIDO_DE_NITROGENO;2010-08-01;12.56;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;20.05;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;17.54;24
-3.705000;40.346944;08;NO2;DIOXIDO_DE_NITROGENO;2010-06-01;22.54;24
-3.731944;40.394722;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;23.20;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;13.26;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;11.04;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2010-06-01;23.58;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2010-08-01;15.34;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2010-12-01;17.87;24
-3.686667;40.398056;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;22.37;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;14.07;24
-3.685556;40.409722;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;12.91;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;18.61;24
-3.611944;40.372778;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;19.15;24
-3.580556;40.462500;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;20.50;24
-3.660278;40.494167;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;21.29;24
-3.660278;40.494167;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;12.67;24
-3.660278;40.494167;08;NO2;DIOXIDO_DE_NITROGENO;2010-06-01;16.07;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2010-03-01;17.24;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;11.22;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;11.76;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2010-06-01;16.89;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2010-08-01;19.44;24
-3.774444;40.518056;08;NO2;DIOXIDO_DE_NITROGENO;2010-12-01;24.92;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2010-03-01;22.06;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;20.26;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;14.56;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2010-06-01;20.20;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2010-08-01;24.80;24
-3.608889;40.465000;08;NO2;DIOXIDO_DE_NITROGENO;2010-11-01;20.68;24
-3.689722;40.500556;08;NO2;DIOXIDO_DE_NITROGENO;2010-04-01;23.64;24
-3.689722;40.500556;08;NO2;DIOXIDO_DE_NITROGENO;2010-05-01;18.02;24
-3.712222;40.424167;08;NO2;DIOXIDO_DE_NITROGENO;2011-06-01;24;24
